Price,Close,High,Low,Open,Volume,Symbol,Daily_Change_Pct,5_Day_MA
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2025-03-17,214.0,215.22000122070312,209.97000122070312,213.30999755859375,48073400,NASDAQ:AAPL,,
2025-03-18,212.69000244140625,215.14999389648438,211.49000549316406,214.16000366210938,42432400,NASDAQ:AAPL,-0.6121483918662407,
2025-03-19,215.24000549316406,218.75999450683594,213.75,214.22000122070312,54385400,NASDAQ:AAPL,1.1989294383784266,
2025-03-20,214.10000610351562,217.49000549316406,212.22000122070312,213.99000549316406,48862900,NASDAQ:AAPL,-0.5296410335227542,
2025-03-21,218.27000427246094,218.83999633789062,211.27999877929688,211.55999755859375,94127800,NASDAQ:AAPL,1.9476870855058115,214.86000366210936
2025-03-24,220.72999572753906,221.47999572753906,218.5800018310547,221.0,44299500,NASDAQ:AAPL,1.1270405492856295,216.20600280761718
2025-03-25,223.75,224.10000610351562,220.0800018310547,220.77000427246094,34493600,NASDAQ:AAPL,1.3681893403326706,218.41800231933593
2025-03-26,221.52999877929688,225.02000427246094,220.47000122070312,223.50999450683594,34466100,NASDAQ:AAPL,-0.9921793165153625,219.6760009765625
2025-03-27,223.85000610351562,224.99000549316406,220.55999755859375,221.38999938964844,37094800,NASDAQ:AAPL,1.0472655337889991,221.6260009765625
2025-03-28,217.89999389648438,223.80999755859375,217.67999267578125,221.6699981689453,39818600,NASDAQ:AAPL,-2.6580353115021937,221.5519989013672
2025-03-31,222.1300048828125,225.6199951171875,216.22999572753906,217.00999450683594,65299300,NASDAQ:AAPL,1.9412625538381745,221.83200073242188
2025-04-01,223.19000244140625,223.67999267578125,218.89999389648438,219.80999755859375,36412700,NASDAQ:AAPL,0.47719692760685994,221.72000122070312
2025-04-02,223.88999938964844,225.19000244140625,221.02000427246094,221.32000732421875,35905900,NASDAQ:AAPL,0.3136327526256366,222.19200134277344
2025-04-03,203.19000244140625,207.49000549316406,201.25,205.5399932861328,103419000,NASDAQ:AAPL,-9.245610346452683,218.06000061035155
2025-04-04,188.3800048828125,199.8800048828125,187.33999633789062,193.88999938964844,125910900,NASDAQ:AAPL,-7.288743235713335,212.1560028076172
2025-04-07,181.4600067138672,194.14999389648438,174.6199951171875,177.1999969482422,160466300,NASDAQ:AAPL,-3.6734249865053914,204.02200317382812
2025-04-08,172.4199981689453,190.33999633789062,169.2100067138672,186.6999969482422,120859500,NASDAQ:AAPL,-4.981818698583263,193.86800231933594
2025-04-09,198.85000610351562,200.61000061035156,171.88999938964844,171.9499969482422,184395900,NASDAQ:AAPL,15.328852926139657,188.86000366210936
2025-04-10,190.4199981689453,194.77999877929688,183.0,189.07000732421875,121880000,NASDAQ:AAPL,-4.239380274487847,186.30600280761718
2025-04-11,198.14999389648438,199.5399932861328,186.05999755859375,186.10000610351562,87435900,NASDAQ:AAPL,4.05944533235465,188.26000061035157
2025-04-14,202.52000427246094,212.94000244140625,201.16000366210938,211.44000244140625,101352900,NASDAQ:AAPL,2.205405253890391,192.4720001220703
2025-04-15,202.13999938964844,203.5050048828125,199.82000732421875,201.85499572753906,50304417,NASDAQ:AAPL,-0.18763819612667154,198.41600036621094
